prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,closed,prison_meta_info_source,
Acklington,Acklington,,,1,,,1,,1,,,,HMPS,1,1972,2011,https://en.wikipedia.org/wiki/HM_Prison_Acklington,
Altcourse,Altcourse,,1,,,,1,1,1,,,,G4S,1,1997,?,http://www.justice.gov.uk/contacts/prison-finder/altcourse,
Ashfield,Ashfield,,,1,,,1,,1,,,1,Serco,1,?,?,http://www.justice.gov.uk/contacts/prison-finder/ashfield,
Ashwell,Ashwell,,,1,,,1,,1,,,,,1,1955,?,https://en.wikipedia.org/wiki/HM_Prison_Ashwell,
Askham Grange,Askham Grange,,,,,1,0,1,1,,,,,1,1947,?,http://www.justice.gov.uk/contacts/prison-finder/askham-grange,http://insidetime.org/hmp-yoi-askham-grange-prison-regime-info/
Aylesbury,Aylesbury,,,,,,1,1,0,,,,,1,1847,?,https://www.justice.gov.uk/contacts/prison-finder/aylesbury,
Bedford,Bedford,,1,,,,1,,1,1,,,,1,1801,?,https://www.justice.gov.uk/contacts/prison-finder/bedford,
Belmarsh,Belmarsh,1,,,,,1,,1,1,,,,1,1991,?,https://www.justice.gov.uk/contacts/prison-finder/belmarsh, https://en.wikipedia.org/wiki/HM_Prison_Belmarsh
Birmingham,Birmingham,,1,1,,,1,,1,1,,,G4S,1,1849,?,https://www.justice.gov.uk/contacts/prison-finder/birmingham,https://en.wikipedia.org/wiki/HM_Prison_Birmingham
Blantyre House,Blantyre House,,,1,1,,1,,1,,,,,1,1954,2007,https://www.justice.gov.uk/contacts/prison-finder/blantyre-house,
Blundeston,Blundeston,,,1,,,1,,1,,,,,1,1963,?,https://en.wikipedia.org/wiki/HM_Prison_Blundeston,
Brinsford,Brinsford,,,,,,1,1,0,,,,HMPS,1,1991,?,https://www.justice.gov.uk/contacts/prison-finder/brinsford, https://en.wikipedia.org/wiki/HM_Prison_Brinsford
Bristol,Bristol,,1,,,,1,1,1,1,,,,1,1880,?,https://en.wikipedia.org/wiki/HM_Prison_Bristol, http://www.pastscape.org.uk/hob.aspx?hob_id=1098163
